|2002_naics|2002_naics_title|sic|sic_title_and_note|filename|end|start
1602|516110.0|Internet Publishing and Broadcasting|8999.0|Services, NEC (Internet broadcasting, special interest web sites, entertainment sites, and interactive game sites)|2002_NAICS_to_1987_SIC.xls|1987|2002
1603|517110.0|Wired Telecommunications Carriers|4813.0|Telephone Communications, Except Radiotelephone (except resellers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1604|517110.0|Wired Telecommunications Carriers|4822.0|Telegraph and Other Message Communications|2002_NAICS_to_1987_SIC.xls|1987|2002
1605|517211.0|Paging|4812.0|Radiotelephone Communications (paging carriers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1606|517212.0|Cellular and Other Wireless Telecommunications|4812.0|Radiotelephone Communications (cellular carriers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1607|517212.0|Cellular and Other Wireless Telecommunications|4899.0|Communications Services, NEC (ship to shore broadcasting carriers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1608|517310.0|Telecommunications Resellers|4812.0|Radiotelephone Communications (paging and cellular resellers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1609|517310.0|Telecommunications Resellers|4813.0|Telephone Communications, Except Radiotelephone (resellers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1610|517410.0|Satellite Telecommunications|4899.0|Communications Services, NEC (satellite communications)|2002_NAICS_to_1987_SIC.xls|1987|2002
1611|517510.0|Cable and Other Program Distribution|4841.0|Cable and Other Pay Television Services (except cable and other subscription programming)|2002_NAICS_to_1987_SIC.xls|1987|2002
1612|517910.0|Other Telecommunications|4899.0|Communications Services, NEC (except ship to shore broadcasting, satellite communications, pay telephone concession operators)|2002_NAICS_to_1987_SIC.xls|1987|2002
1613|518111.0|Internet Service Providers|7375.0|Information Retrieval Services (Internet service providers and Internet access providers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1614|518112.0|Web Search Portals|8999.0|Services, NEC (Internet web search portals)|2002_NAICS_to_1987_SIC.xls|1987|2002
1615|518210.0|Data Processing, Hosting, and Related Services |7374.0|Computer Processing and Data Preparation and Processing Services|2002_NAICS_to_1987_SIC.xls|1987|2002
1616|518210.0|Data Processing, Hosting, and Related Services|7379.0|Computer Related Services, NEC (disk conversion services)|2002_NAICS_to_1987_SIC.xls|1987|2002
1617|518210.0|Data Processing, Hosting, and Related Services|7389.0|Business Services, NEC (microfilm services)|2002_NAICS_to_1987_SIC.xls|1987|2002
1618|519110.0|News Syndicates|7383.0|News Syndicates (except independent news correspondents)|2002_NAICS_to_1987_SIC.xls|1987|2002
1619|519120.0|Libraries and Archives|7829.0|Services Allied to Motion Picture Distribution (film archives)|2002_NAICS_to_1987_SIC.xls|1987|2002
1620|519120.0|Libraries and Archives|8231.0|Libraries|2002_NAICS_to_1987_SIC.xls|1987|2002
1621|519190.0|All Other Information Services|7389.0|Business Services, NEC (press clipping services and stock photo agencies)|2002_NAICS_to_1987_SIC.xls|1987|2002
1622|521110.0|Monetary Authorities - Central Bank|6011.0|Federal Reserve Banks|2002_NAICS_to_1987_SIC.xls|1987|2002
1623|522110.0|Commercial Banking|6021.0|National Commercial Banks (banking)|2002_NAICS_to_1987_SIC.xls|1987|2002
1624|522110.0|Commercial Banking|6022.0|State Commercial Banks (commercial banking)|2002_NAICS_to_1987_SIC.xls|1987|2002
1625|522110.0|Commercial Banking|6029.0|Commercial Banks, NEC |2002_NAICS_to_1987_SIC.xls|1987|2002
1626|522110.0|Commercial Banking|6081.0|Branches and Agencies of Foreign Banks (branches)|2002_NAICS_to_1987_SIC.xls|1987|2002
1627|522120.0|Savings Institutions|6035.0|Savings Institutions, Federally Chartered|2002_NAICS_to_1987_SIC.xls|1987|2002
1628|522120.0|Savings Institutions|6036.0|Savings Institutions, Not Federally Chartered|2002_NAICS_to_1987_SIC.xls|1987|2002
1629|522130.0|Credit Unions|6061.0|Credit Unions, Federally Chartered|2002_NAICS_to_1987_SIC.xls|1987|2002
1630|522130.0|Credit Unions|6062.0|Credit Unions, Not Federally Chartered|2002_NAICS_to_1987_SIC.xls|1987|2002
1631|522190.0|Other Depository Credit Intermediation|6022.0|State Commercial Banks (private and industrial banking)|2002_NAICS_to_1987_SIC.xls|1987|2002
1632|522210.0|Credit Card Issuing|6021.0|National Commercial Banks (credit card issuing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1633|522210.0|Credit Card Issuing|6022.0|State Commercial Banks (credit card issuing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1634|522210.0|Credit Card Issuing|6141.0|Personal Credit Institutions (credit card issuing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1635|522210.0|Credit Card Issuing|6153.0|Short-Term Business Credit Institutions, Except Agricultural (credit card issuing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1636|522220.0|Sales Financing|6141.0|Personal Credit Institutions (installment sales finance)|2002_NAICS_to_1987_SIC.xls|1987|2002
1637|522220.0|Sales Financing|6153.0|Short-Term Business Credit Institutions, Except Agricultural (business sales finance).|2002_NAICS_to_1987_SIC.xls|1987|2002
1638|522220.0|Sales Financing|6159.0|Miscellaneous Business Credit Institutions (finance leasing combined with sales financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1639|522291.0|Consumer Lending|6141.0|Personal Credit Institutions (except installment sales finance, industrial nondeposit banks, and credit card issuing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1640|522292.0|Real Estate Credit|6111.0|Federal and Federally-Sponsored Credit Agencies (trade banks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1641|522292.0|Real Estate Credit|6159.0|Miscellaneous Business Credit Institutions (farm mortgage companies)|2002_NAICS_to_1987_SIC.xls|1987|2002
1642|522292.0|Real Estate Credit|6162.0|Mortgage Bankers and Loan Correspondents (mortgage bankers and originators)|2002_NAICS_to_1987_SIC.xls|1987|2002
1643|522293.0|International Trade Financing|6081.0|Branches and Agencies of Foreign Banks (international trade financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1644|522293.0|International Trade Financing|6082.0|Foreign Trade and International Banking Institutions (international trade financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1645|522293.0|International Trade Financing|6111.0|Federal and Federally-Sponsored Credit Agencies (trade banks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1646|522293.0|International Trade Financing|6159.0|Miscellaneous Business Credit Institutions (trade banks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1647|522294.0|Secondary Market Financing|6111.0|Federal and Federally Sponsored Credit Agencies (secondary market financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1648|522294.0|Secondary Market Financing|6159.0|Miscellaneous Business Credit Institutions (secondary market financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1649|522298.0|All Other Nondepository Credit Intermediation|5932.0|Used Merchandise Stores (pawnshops)|2002_NAICS_to_1987_SIC.xls|1987|2002
1650|522298.0|All Other Nondepository Credit Intermediation|6019.0|Central Reserve Depository Institutions, NEC|2002_NAICS_to_1987_SIC.xls|1987|2002
1651|522298.0|All Other Nondepository Credit Intermediation|6081.0|Branches and Agencies of Foreign Banks (agencies, except international trade financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1652|522298.0|All Other Nondepository Credit Intermediation|6082.0|Foreign Trade and International Banking Institutions (except international trade financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1653|522298.0|All Other Nondepository Credit Intermediation|6111.0|Federal and Federally-Sponsored Credit Agencies (except trade banks, secondary market financing and Federal Land Banks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1654|522298.0|All Other Nondepository Credit Intermediation|6141.0|Personal Credit Institutions (industrial nondeposit banks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1655|522298.0|All Other Nondepository Credit Intermediation|6153.0|Short Term Business Credit Institutions, Except Agricultural (short term inventory credit and purchasing accounts receivable)|2002_NAICS_to_1987_SIC.xls|1987|2002
1656|522298.0|All Other Nondepository Credit Intermediation|6159.0|Miscellaneous Business Credit Institutions (except trade banks, farm mortgage companies, secondary market financing, and finance leasing combined with sales financing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1657|522310.0|Mortgage and Nonmortgage Loan Brokers|6163.0|Loan Brokers|2002_NAICS_to_1987_SIC.xls|1987|2002
1658|522320.0|Financial Transactions Processing, Reserve, and Clearinghouse Activities|6099.0|Functions Related to Depository Banking, NEC (electronic funds transfer networks and clearinghouse associations)|2002_NAICS_to_1987_SIC.xls|1987|2002
1659|522320.0|Financial Transactions Processing, Reserve, and Clearinghouse Activities|6153.0|Short-Term Business Credit Institutions, Except Agricultural (credit card service)|2002_NAICS_to_1987_SIC.xls|1987|2002
1660|522320.0|Financial Transactions Processing, Reserve, and Clearinghouse Activities|7389.0|Business Services, NEC (credit card and check validation service)|2002_NAICS_to_1987_SIC.xls|1987|2002
1661|522390.0|Other Activities Related to Credit Intermediation|6099.0|Functions Related to Depository Banking, NEC (except electronic funds transfer networks and clearinghouses, foreign currency exchanges, escrow and fiduciary agencies and deposit brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1662|522390.0|Other Activities Related to Credit Intermediation|6162.0|Mortgage Bankers and Loan Correspondents (mortgage  servicing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1663|523110.0|Investment Banking and Securities Dealing|6211.0|Security Brokers, Dealers, and Flotation Companies (security dealers and underwriters)|2002_NAICS_to_1987_SIC.xls|1987|2002
1664|523120.0|Securities Brokerage|6211.0|Security Brokers, Dealers, and Flotation Companies (security brokers, note brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1665|523130.0|Commodity Contracts Dealing|6099.0|Functions Related to Depository Banking, NEC  (foreign currency exchange)|2002_NAICS_to_1987_SIC.xls|1987|2002
1666|523130.0|Commodity Contracts Dealing|6221.0|Commodity Contracts Brokers and Dealers (commodity dealers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1667|523130.0|Commodity Contracts Dealing|6799.0|Investors, NEC (commodity contract trading companies)|2002_NAICS_to_1987_SIC.xls|1987|2002
1668|523140.0|Commodity Contracts Brokerage|6221.0|Commodity Contracts Brokers and Dealers (commodity brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1669|523210.0|Securities and Commodity Exchanges|6231.0|Security and Commodity Exchanges|2002_NAICS_to_1987_SIC.xls|1987|2002
1670|523910.0|Miscellaneous Intermediation|6153.0|Short-Term Business Credit Institutions, Except Agricultural (except credit card service and issuing, short term inventory credit, purchasing accounts receivable, and business sales finance)|2002_NAICS_to_1987_SIC.xls|1987|2002
1671|523910.0|Miscellaneous Intermediation|6211.0|Security Brokers, Dealers, and Flotation Companies (except security dealers and underwriters, and security, oil lease, and gas lease brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1672|523910.0|Miscellaneous Intermediation|6792.0|Oil Royalty Traders (investing on own account)|2002_NAICS_to_1987_SIC.xls|1987|2002
1673|523910.0|Miscellaneous Intermediation|6799.0|Investors, NEC (venture capital companies, investment clubs, and speculators for own account)|2002_NAICS_to_1987_SIC.xls|1987|2002
1674|523920.0|Portfolio Management|6282.0|Investment Advice (portfolio managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1675|523920.0|Portfolio Management|6371.0|Pension, Health, and Welfare Funds (managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1676|523920.0|Portfolio Management|6733.0|Trusts, Except Educational, Religious, and Charitable (managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1677|523920.0|Portfolio Management|6799.0|Investors, NEC (commodity contract pool operators)|2002_NAICS_to_1987_SIC.xls|1987|2002
1678|523930.0|Investment Advice|6282.0|Investment Advice (except portfolio managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1679|523991.0|Trust, Fiduciary, and Custody Activities|6091.0|Nondeposit Trust Facilities |2002_NAICS_to_1987_SIC.xls|1987|2002
1680|523991.0|Trust, Fiduciary, and Custody Activities|6099.0|Functions Related to Depository Banking, NEC  (escrow and fiduciary agencies)|2002_NAICS_to_1987_SIC.xls|1987|2002
1681|523991.0|Trust, Fiduciary, and Custody Activities|6289.0|Services Allied With the Exchange of Securities or Commodities, NEC (security custodians)|2002_NAICS_to_1987_SIC.xls|1987|2002
1682|523991.0|Trust, Fiduciary, and Custody Activities|6733.0|Trusts, Except Educational, Religious, and Charitable (administrators of private estates)|2002_NAICS_to_1987_SIC.xls|1987|2002
1683|523999.0|Miscellaneous Financial Investment Activities|6211.0|Security Brokers, Dealers, and Flotation Companies (oil lease and gas lease brokers offices)|2002_NAICS_to_1987_SIC.xls|1987|2002
1684|523999.0|Miscellaneous Financial Investment Activities|6289.0|Services Allied With the Exchange of Securities or Commodities, NEC (except security custodians)|2002_NAICS_to_1987_SIC.xls|1987|2002
1685|524113.0|Direct Life Insurance Carriers|6311.0|Life Insurance (life insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1686|524113.0|Direct Life Insurance Carriers|6321.0|Accident and Health Insurance (disability insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1687|524114.0|Direct Health and Medical Insurance Carriers|6321.0|Accident and Health Insurance (health and medical insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1688|524114.0|Direct Health and Medical Insurance Carriers|6324.0|Hospital and Medical Service Plans (health and medical insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1689|524126.0|Direct Property and Casualty Insurance Carriers|6331.0|Fire, Marine, and Casualty Insurance (fire, marine, and casualty insurers-direct, except contact lens insurance)|2002_NAICS_to_1987_SIC.xls|1987|2002
1690|524126.0|Direct Property and Casualty Insurance Carriers|6351.0|Surety Insurance (financial responsibility insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1691|524127.0|Direct Title Insurance Carriers|6361.0|Title Insurance (title insurers-direct)|2002_NAICS_to_1987_SIC.xls|1987|2002
1692|524128.0|Other Direct Insurance (except Life, Health, and Medical) Carriers|6311.0|Life Insurance (burial insurance)|2002_NAICS_to_1987_SIC.xls|1987|2002
1693|524128.0|Other Direct Insurance (except Life, Health, and Medical) Carriers|6331.0|Fire, Marine, and Casualty Insurance (contact lens insurance)|2002_NAICS_to_1987_SIC.xls|1987|2002
1694|524128.0|Other Direct Insurance (except Life, Health, and Medical) Carriers|6351.0|Surety Insurance (warranty insurance, home)|2002_NAICS_to_1987_SIC.xls|1987|2002
1695|524128.0|Other Direct Insurance (except Life, Health, and Medical) Carriers|6399.0|Insurance Carriers, NEC|2002_NAICS_to_1987_SIC.xls|1987|2002
1696|524130.0|Reinsurance Carriers|6311.0|Life Insurance (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1697|524130.0|Reinsurance Carriers|6321.0|Accident and Health Insurance (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1698|524130.0|Reinsurance Carriers|6324.0|Hospital and Medical Service Plans (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1699|524130.0|Reinsurance Carriers|6331.0|Fire, Marine, and Casualty Insurance (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1700|524130.0|Reinsurance Carriers|6351.0|Surety Insurance (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1701|524130.0|Reinsurance Carriers|6361.0|Title Insurance (reinsurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1702|524210.0|Insurance Agencies and Brokerages|6411.0|Insurance Agents, Brokers, and Service (insurance agents and brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1703|524291.0|Claims Adjusting|6411.0|Insurance Agents, Brokers, and Service (insurance claims adjusters)|2002_NAICS_to_1987_SIC.xls|1987|2002
1704|524292.0|Third Party Administration of Insurance and Pension Funds|6371.0|Pension, Health, and Welfare Funds (administrators)|2002_NAICS_to_1987_SIC.xls|1987|2002
1705|524292.0|Third Party Administration of Insurance and Pension Funds|6411.0|Insurance Agents, Brokers, and Service (processors)|2002_NAICS_to_1987_SIC.xls|1987|2002
1706|524298.0|All Other Insurance Related Activities|6411.0|Insurance Agents, Brokers, and Service (except processors, agents and brokers, and claims adjusters)|2002_NAICS_to_1987_SIC.xls|1987|2002
1707|525110.0|Pension Funds|6371.0|Pension, Health, and Welfare Funds (pension funds)|2002_NAICS_to_1987_SIC.xls|1987|2002
1708|525120.0|Health and Welfare Funds|6371.0|Pension, Health, and Welfare Funds (health and welfare funds)|2002_NAICS_to_1987_SIC.xls|1987|2002
1709|525190.0|Other Insurance Funds|6321.0|Accident and Health Insurance (self insurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
