filename|year|standard|code|title
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1629|Heavy Construction NEC (irrigation systems, sewage treatment plants, and water treatment plants)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1781|Water Well Drilling
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (construction management of water, sewer, and related structure construction projects)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1389|Oil and Gas Field Services, NEC (construction of field gathering lines on a contract or fee basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1623|Water, Sewer, Pipeline, and Communications and Power Line Construction (gas and oil pipelines, mains, and pumping stations)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1629|Heavy Construction, NEC (petrochemical plants and refineries)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (construction management of oil and gas pipelines and related structure  construction projects)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1623|Water, Sewer, Pipeline, and Communications and Power Line Construction (power and communications transmission lines)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1629|Heavy Construction, NEC (power generation plants [except hydroelectric dams], transmission stations, and distribution stations)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (construction management of power generation [except hydroelectric] facilities, and transmission and distribution station construction projects)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|6552|Land Subdividers and Developers, Except Cemeteries
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1611|Highway and Street Construction, Except Elevated Highways
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1622|Bridge, Tunnel, and Elevated Highway Construction (bridge and elevated highway construction) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1721|Painting and Paper Hanging (traffic lane painting)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (highway, street, and bridge construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1622|Bridge, Tunnel, and Elevated Highway Construction (tunnel construction)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1629|Heavy Construction, NEC (except industrial nonbuilding structures, irrigation systems, sewage and water treatment plants, petrochemical plants and refineries, power generation plants [except hydroelectric dams] transmission and distribution stations, right-of-way clearing, line slashing, blasting, and trenching)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (anchored earth retention contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (construction management for other heavy and civil engineering construction) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1771|Concrete Work (concrete work except stucco work and asphalt, brick, and paving)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1791|Structural Steel Erection (structural steel work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1751|Carpentry Work (framing carpentry)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1741|Masonry, Stone Setting, and Other Stone Work
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1771|Concrete Work (stucco work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1793|Glass and Glazing Work
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (glass tinting work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1761|Roofing, Siding, and Sheet Metal Work (roofing contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1761|Roofing, Siding, and Sheet Metal Work (siding contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1791|Structural Steel Erection (curtain wall installation and metal furring installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (forming contractors and ornamental metal work contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1711|Plumbing, Heating, and Air-Conditioning (environmental control installation contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1731|Electrical Work (electrical work except burglar and fire alarm installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1711|Plumbing, Heating, and Air-Conditioning (except environmental controls installation; and septic tank, cesspool, and dry well construction)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1791|Structural Steel Erection (cooling tower installation)
